json2tab	K0C041NI2-24	su	K0C041NI2:252-253	NIL	PER	PRO	1.0
json2tab	K0C041NI2-25	su	K0C041NI2:329-330	NIL	PER	PRO	1.0
json2tab	K0C041NI2-51	se	K0C041NI2:619-620	NIL	PER	PRO	1.0
json2tab	K0C041NI2-81	sus	K0C041NI2:1067-1069	NIL	ORG	PRO	1.0
json2tab	K0C041NI2-89	su	K0C041NI2:1273-1274	NIL	PER	PRO	1.0
json2tab	K0C041NI2-100	que	K0C041NI2:1425-1427	NIL	PER	PRO	1.0
json2tab	K0C0448WH-18	que	K0C0448WH:205-207	NIL	PER	PRO	1.0
json2tab	K0C0448WH-19	su	K0C0448WH:252-253	NIL	PER	PRO	1.0
json2tab	K0C0448WH-50	él	K0C0448WH:595-596	NIL	PER	PRO	1.0
json2tab	K0C0448WH-51	quien	K0C0448WH:680-684	NIL	PER	PRO	1.0
json2tab	K0C0448WH-52	su	K0C0448WH:690-691	NIL	PER	PRO	1.0
json2tab	K0C0448WH-80	se	K0C0448WH:1104-1105	NIL	PER	PRO	1.0
json2tab	K0C041NI3-40	Nuestro	K0C041NI3:541-547	NIL	GPE	PRO	1.0
json2tab	K0C041NI3-86	se	K0C041NI3:1405-1406	NIL	PER	PRO	1.0
json2tab	K0C041NI3-87	sus	K0C041NI3:1526-1528	NIL	PER	PRO	1.0
json2tab	K0C041NI3-97	su	K0C041NI3:1664-1665	NIL	PER	PRO	1.0
json2tab	K0C041NI5-8	lo	K0C041NI5:202-203	NIL	PER	PRO	1.0
json2tab	K0C041NI5-19	se	K0C041NI5:440-441	NIL	PER	PRO	1.0
json2tab	K0C041NI5-20	su	K0C041NI5:470-471	NIL	PER	PRO	1.0
json2tab	K0C041NI5-34	su	K0C041NI5:849-850	NIL	PER	PRO	1.0
json2tab	K0C041NI5-63	quien	K0C041NI5:1450-1454	NIL	PER	PRO	1.0
json2tab	K0C041NI5-64	su	K0C041NI5:1486-1487	NIL	PER	PRO	1.0
json2tab	K0C041NI5-89	quien	K0C041NI5:1782-1786	NIL	PER	PRO	1.0
json2tab	K0C041NI5-90	le	K0C041NI5:1788-1789	NIL	PER	PRO	1.0
json2tab	K0C041NI5-123	que	K0C041NI5:2322-2324	NIL	PER	PRO	1.0
json2tab	K0C041NI5-124	ellos	K0C041NI5:2435-2439	NIL	PER	PRO	1.0
json2tab	K0C041NI5-141	su	K0C041NI5:2665-2666	NIL	ORG	PRO	1.0
json2tab	K0C041NI5-157	su	K0C041NI5:2974-2975	NIL	PER	PRO	1.0
json2tab	K0C041NI5-190	su	K0C041NI5:3415-3416	NIL	GPE	PRO	1.0
